A,B,M,N,rhoa,k,err
27,28,26,25,54.0686,1019.17,0.03
27,28,25,24,18.034,1359.73,0.03
27,28,24,23,7.62543,1437.36,0.03
27,28,23,22,3.87398,1460.46,0.03
27,28,22,21,2.34783,1548.95,0.03
27,28,21,20,1.50435,1587.96,0.03
27,28,20,19,1.11791,1770.06,0.03
27,28,19,18,0.805107,1821.11,0.03
26,27,25,24,69.7273,1314.33,0.03
26,27,24,23,21.2157,1599.63,0.03
26,27,23,22,8.82663,1663.78,0.03
26,27,22,21,4.67721,1763.27,0.03
26,27,21,20,2.75846,1819.85,0.03
26,27,20,19,1.94398,2052.02,0.03
26,27,19,18,1.33942,2120.79,0.03
26,27,18,17,0.976693,2209.23,0.03
26,28,18,16,2.75872,2080.02,0.03
26,28,16,14,1.40627,1855.53,0.03
26,28,14,12,0.796056,1680.6,0.03
25,26,24,23,63.454,1196.08,0.03
25,26,23,22,19.2499,1451.41,0.03
25,26,22,21,8.38259,1580.08,0.03
25,26,21,20,4.3348,1634.18,0.03
25,26,20,19,2.8171,1858.54,0.03
25,26,19,18,1.84375,1946.22,0.03
25,26,18,17,1.29089,2043.94,0.03
25,26,17,16,0.984278,2226.38,0.03
25,27,17,15,2.79289,2105.79,0.03
25,27,15,13,1.43992,1899.93,0.03
25,27,13,11,0.823736,1739.03,0.03
24,25,23,22,63.4656,1196.3,0.03
24,25,22,21,19.9805,1506.5,0.03
24,25,21,20,8.41113,1585.46,0.03
24,25,20,19,4.76786,1797.44,0.03
24,25,19,18,2.8921,1908.02,0.03
24,25,18,17,1.93184,2039.2,0.03
24,25,17,16,1.41374,2238.46,0.03
24,25,16,15,0.890859,2015.08,0.03
24,26,16,14,2.62687,1980.61,0.03
24,26,14,12,1.42573,1881.2,0.03
24,26,12,10,0.803325,1695.94,0.03
23,24,22,21,64.4804,1215.43,0.03
23,24,21,20,19.3757,1460.89,0.03
23,24,20,19,8.87294,1672.51,0.03
23,24,19,18,4.69439,1769.74,0.03
23,24,18,17,2.89873,1912.39,0.03
23,24,17,16,2.02041,2132.69,0.03
23,24,16,15,1.22109,1933.43,0.03
23,24,15,14,0.89761,2030.35,0.03
23,25,15,13,2.63328,1985.45,0.03
23,25,13,11,1.44355,1904.72,0.03
23,25,11,9,0.81321,1716.81,0.03
22,23,21,20,63.0213,1187.92,0.03
22,23,20,19,20.4036,1538.4,0.03
22,23,19,18,8.70718,1641.26,0.03
22,23,18,17,4.6949,1769.94,0.03
22,23,17,16,3.01126,1986.63,0.03
22,23,16,15,1.72642,1822.37,0.03
22,23,15,14,1.21358,1921.53,0.03
22,23,14,13,0.823067,1861.73,0.03
22,24,14,12,2.50664,1889.96,0.03
22,24,12,10,1.35009,1781.4,0.03
22,24,10,8,0.754682,1593.25,0.03
21,22,20,19,68.2872,1287.18,0.03
21,22,19,18,20.5716,1551.06,0.03
21,22,18,17,8.93491,1684.19,0.03
21,22,17,16,4.99902,1884.59,0.03
21,22,16,15,2.6341,1737.81,0.03
21,22,15,14,1.75716,1854.82,0.03
21,22,14,13,1.13418,1795.82,0.03
21,22,13,12,0.835374,1889.57,0.03
21,23,13,11,2.42137,1825.67,0.03
21,23,11,9,1.29423,1707.69,0.03
21,23,9,7,0.693258,1463.57,0.03
20,21,19,18,60.4613,1139.67,0.03
20,21,18,17,18.9624,1429.73,0.03
20,21,17,16,8.61014,1622.97,0.03
20,21,16,15,3.98384,1501.87,0.03
20,21,15,14,2.45385,1618.89,0.03
20,21,14,13,1.4934,1576.4,0.03
20,21,13,12,1.04628,1656.64,0.03
20,21,12,11,0.704436,1593.4,0.03
20,22,12,10,2.14902,1620.32,0.03
20,22,10,8,1.13435,1496.75,0.03
20,22,8,6,0.66999,1414.45,0.03
19,20,18,17,63.6016,1198.86,0.03
19,20,17,16,20.7006,1560.79,0.03
19,20,16,15,7.81147,1472.43,0.03
19,20,15,14,4.23666,1597.18,0.03
19,20,14,13,2.38116,1570.94,0.03
19,20,13,12,1.56267,1649.52,0.03
19,20,12,11,1.00119,1585.24,0.03
19,20,11,10,0.68526,1550.02,0.03
19,21,11,9,2.04655,1543.06,0.03
19,21,9,7,1.01931,1344.95,0.03
19,21,7,5,0.65007,1372.4,0.03
18,19,17,16,64.891,1223.17,0.03
18,19,16,15,17.8168,1343.36,0.03
18,19,15,14,8.04524,1516.49,0.03
18,19,14,13,3.99395,1505.68,0.03
18,19,13,12,2.42415,1599.3,0.03
18,19,12,11,1.45733,1538.32,0.03
18,19,11,10,0.945749,1497.46,0.03
18,19,10,9,0.668826,1512.85,0.03
18,20,10,8,1.88319,1419.89,0.03
18,20,8,6,1.024,1351.14,0.03
18,20,6,4,0.608073,1283.74,0.03
17,18,16,15,56.0719,1056.93,0.03
17,18,15,14,18.9299,1427.28,0.03
17,18,14,13,7.8474,1479.2,0.03
17,18,13,12,4.23989,1598.4,0.03
17,18,12,11,2.3564,1554.6,0.03
17,18,11,10,1.44376,1524.0,0.03
17,18,10,9,0.965466,1528.68,0.03
17,18,9,8,0.573441,1297.09,0.03
17,19,9,7,1.6999,1281.7,0.03
17,19,7,5,0.992028,1308.95,0.03
17,19,5,3,0.557016,1175.95,0.03
16,17,15,14,69.2752,1305.81,0.03
16,17,14,13,20.7698,1566.0,0.03
16,17,13,12,9.30318,1753.61,0.03
16,17,12,11,4.58239,1727.52,0.03
16,17,11,10,2.61008,1721.96,0.03
16,17,10,9,1.64056,1731.74,0.03
16,17,9,8,0.917488,1452.71,0.03
16,17,8,7,0.668689,1512.54,0.03
16,18,8,6,1.89161,1426.24,0.03
16,18,6,4,1.0234,1350.35,0.03
16,18,4,2,0.571884,1207.33,0.03
15,16,14,13,60.624,1142.73,0.03
15,16,13,12,20.0072,1508.51,0.03
15,16,12,11,8.20299,1546.23,0.03
15,16,11,10,4.17786,1575.02,0.03
15,16,10,9,2.43802,1608.44,0.03
15,16,9,8,1.28838,1359.98,0.03
15,16,8,7,0.890523,1410.02,0.03
15,16,7,6,0.627409,1419.17,0.03
15,17,7,5,1.90951,1439.74,0.03
15,17,5,3,0.980534,1293.78,0.03
15,17,3,1,0.548599,1158.18,0.03
14,15,13,12,66.6473,1256.27,0.03
14,15,12,11,20.0024,1508.15,0.03
14,15,11,10,8.55008,1611.65,0.03
14,15,10,9,4.45259,1678.59,0.03
14,15,9,8,2.18602,1442.19,0.03
14,15,8,7,1.42848,1507.87,0.03
14,15,7,6,0.956759,1514.89,0.03
14,15,6,5,0.661801,1496.96,0.03
14,16,6,4,1.82016,1372.37,0.03
14,16,4,2,0.939615,1239.79,0.03
13,14,12,11,60.4751,1139.93,0.03
13,14,11,10,19.3009,1455.26,0.03
13,14,10,9,8.43291,1589.57,0.03
13,14,9,8,3.6916,1391.7,0.03
13,14,8,7,2.25493,1487.65,0.03
13,14,7,6,1.42615,1505.41,0.03
13,14,6,5,0.937302,1484.09,0.03
13,14,5,4,0.609795,1379.32,0.03
13,15,5,3,1.77275,1336.62,0.03
13,15,3,1,0.921691,1216.14,0.03
12,13,11,10,63.8622,1203.77,0.03
12,13,10,9,20.6258,1555.15,0.03
12,13,9,8,7.57298,1427.47,0.03
12,13,8,7,4.13614,1559.29,0.03
12,13,7,6,2.42731,1601.38,0.03
12,13,6,5,1.50336,1586.91,0.03
12,13,5,4,0.930727,1473.68,0.03
12,13,4,3,0.647888,1465.49,0.03
12,14,4,2,1.78327,1344.56,0.03
11,12,10,9,63.9968,1206.31,0.03
11,12,9,8,17.2622,1301.54,0.03
11,12,8,7,7.94964,1498.47,0.03
11,12,7,6,4.14845,1563.93,0.03
11,12,6,5,2.38079,1570.69,0.03
11,12,5,4,1.38882,1466.01,0.03
11,12,4,3,0.919276,1455.55,0.03
11,12,3,2,0.609161,1377.89,0.03
11,13,3,1,1.77726,1340.02,0.03
10,11,9,8,54.6008,1029.2,0.03
10,11,8,7,19.106,1440.56,0.03
10,11,7,6,8.36771,1577.28,0.03
10,11,6,5,4.26807,1609.02,0.03
10,11,5,4,2.3073,1522.2,0.03
10,11,4,3,1.44381,1524.05,0.03
10,11,3,2,0.910873,1442.24,0.03
10,11,2,1,0.625321,1414.44,0.03
9,10,8,7,67.9242,1280.34,0.03
9,10,7,6,21.7071,1636.67,0.03
9,10,6,5,9.18208,1730.78,0.03
9,10,5,4,4.42216,1667.11,0.03
9,10,4,3,2.57608,1699.53,0.03
9,10,3,2,1.53882,1624.34,0.03
9,10,2,1,1.00113,1585.15,0.03
8,9,7,6,60.2685,1136.03,0.03
8,9,6,5,18.7336,1412.48,0.03
8,9,5,4,7.5669,1426.33,0.03
8,9,4,3,3.95537,1491.14,0.03
8,9,3,2,2.20865,1457.12,0.03
8,9,2,1,1.37432,1450.7,0.03
7,8,6,5,60.7093,1144.34,0.03
7,8,5,4,18.0996,1364.68,0.03
7,8,4,3,7.96966,1502.25,0.03
7,8,3,2,3.997,1506.83,0.03
7,8,2,1,2.32876,1536.36,0.03
6,7,5,4,57.1702,1077.63,0.03
6,7,4,3,18.6577,1406.76,0.03
6,7,3,2,7.85313,1480.28,0.03
6,7,2,1,4.09156,1542.48,0.03
5,6,4,3,62.461,1177.36,0.03
5,6,3,2,19.2533,1451.66,0.03
5,6,2,1,8.32304,1568.86,0.03
4,5,3,2,58.7437,1107.29,0.03
4,5,2,1,18.6105,1403.2,0.03
3,4,2,1,59.8264,1127.7,0.03
